per;hogar;dpto;p3271;p6040;p6030s3;p3042;p3042s1;p3042s2;inglabo
2024;1;5;1;22;2002;5;2;;1300000
2024;1;5;2;64;1960;3;5;;1300000
2024;1;5;1;56;1968;4;3;;900000
2024;1;5;2;59;1965;3;5;;1300000
2024;1;5;1;34;1990;5;2;;2000000
2024;1;5;2;30;1994;8;4;916;1700000
2024;1;5;2;33;1991;5;2;;2000000
2024;1;5;1;54;1970;9;6;119;1600000
2024;1;8;2;25;1999;10;10;413;2800000
2024;1;8;2;25;1999;10;10;413;2800000
2024;1;8;1;48;1976;11;2;421;5800000
2024;1;8;2;47;1977;11;2;31;1400000
2024;1;8;2;21;2003;10;4;419;1500000
2024;1;8;1;44;1980;9;6;11;12000000
2024;1;8;2;46;1978;10;10;413;3400000
2024;1;8;1;19;2005;10;3;421;1420000
2024;1;8;1;35;1989;10;10;411;7000000
2024;1;8;1;55;1969;10;10;711;1800000
2024;1;8;1;24;2000;10;10;719;2000000
2024;1;8;2;58;1966;8;4;411;500000
2024;1;8;2;31;1993;10;10;411;1800000
2024;1;8;2;40;1984;10;10;11;3600000
2024;1;8;1;41;1983;10;10;613;3600000
2024;1;8;1;23;2001;4;1;;1300000
2024;1;8;2;48;1976;10;10;411;10000000
2024;1;8;1;53;1971;5;2;;1465000
2024;1;8;1;59;1965;8;4;11;2400000
2024;1;8;2;48;1976;8;4;112;1300000
2024;1;8;1;54;1970;5;2;;1800000
2024;1;8;2;37;1987;10;10;413;1700000
2024;1;8;1;40;1984;10;10;715;1900000
2024;1;8;1;42;1981;8;4;11;15000000
2024;1;8;2;40;1984;8;4;411;4000000
2024;1;8;1;24;2000;10;10;714;2600000
2024;1;8;2;33;1991;5;2;;2050000
2024;1;8;2;33;1991;10;10;413;2500000
2024;1;8;1;30;1993;10;10;212;1800000
2024;1;8;1;53;1971;11;2;719;4500000
2024;1;8;2;52;1972;12;4;912;7000000
2024;1;8;1;30;1994;10;10;413;5000000
2024;1;8;2;60;1964;9;6;212;3500000
2024;1;8;1;37;1987;10;10;488;2000000
2024;1;8;1;50;1973;10;10;488;2000000
2024;1;8;2;41;1983;10;10;313;2000000
2024;1;8;2;60;1964;10;10;239;5000000
2024;1;8;2;39;1985;9;6;413;1600000
2024;1;8;1;66;1958;1;0;;350000
2024;1;8;2;33;1991;10;10;412;1800000
2024;1;8;2;32;1992;8;4;213;2800000
2024;1;8;2;54;1970;10;10;413;2600000
2024;1;8;1;58;1966;10;10;413;2000000
2024;1;8;1;68;1956;13;6;114;14000000
2024;1;8;2;48;1975;10;10;919;1800000
2024;1;8;1;35;;10;10;411;4000000
2024;1;8;1;39;1985;10;10;413;2300000
2024;1;8;1;30;1994;8;4;212;1300000
2024;1;8;2;52;1972;10;10;322;2600000
2024;1;8;1;45;;8;4;715;2000000
2024;1;8;1;59;1965;12;4;421;15000000
2024;1;8;2;24;2000;10;10;719;1800000
2024;1;8;1;27;1997;10;10;212;1300000
2024;1;8;2;62;1962;11;2;111;4000000
2024;1;8;1;40;1984;10;10;232;1800000
2024;1;8;2;50;1974;3;5;;350000
2024;1;8;1;44;1980;3;5;;600000
2024;1;8;2;46;1978;10;10;913;1100000
2024;1;8;1;53;1971;4;3;;1500000
2024;1;8;1;57;1967;4;4;;400000
2024;1;8;1;52;1972;3;5;;1200000
2024;1;8;1;42;1982;4;2;;1300000
2024;1;8;1;42;1982;5;2;;1580000
2024;1;8;1;44;1980;4;3;;1200000
2024;1;8;1;23;2001;5;2;;1200000
2024;1;8;1;42;1982;8;4;413;2000000
2024;1;8;1;43;1981;5;2;;1600000
2024;1;8;2;46;1978;3;5;;1460000
2024;1;8;2;41;1983;5;2;;1350000
2024;1;8;1;23;2001;4;4;;1300000
2024;1;8;1;25;1999;5;2;;1300000
2024;1;8;2;62;1962;10;3;229;500000
2024;1;8;1;65;1959;5;2;;2000000
2024;1;8;1;26;1998;8;1;1041;2000000
2024;1;8;2;55;;5;2;;1200000
2024;1;8;1;32;;4;4;;1500000
2024;1;8;1;33;1991;4;4;;1300000
2024;1;8;2;27;1997;5;2;;1600000
2024;1;8;1;39;1985;4;1;;900000
2024;1;8;2;22;2002;8;4;913;1300000
2024;1;8;1;30;1994;5;2;;1800000
2024;1;8;1;62;1962;4;2;;900000
2024;1;8;2;53;1971;5;2;;900000
2024;1;8;1;24;1999;8;4;1022;1300000
2024;1;8;2;19;2005;10;5;731;1400000
2024;1;8;2;55;1969;5;2;;1350000
2024;1;8;1;37;1987;5;2;;2500000
2024;1;8;1;32;1992;5;2;;1600000
2024;1;8;2;34;1990;8;4;913;1350000
2024;1;8;2;29;1995;8;4;413;600000
2024;1;8;2;64;1960;3;5;;1300000
2024;1;8;1;54;1970;5;2;;1300000
2024;1;8;1;46;1978;3;5;;600000
2024;1;8;1;63;1961;1;0;;1500000
2024;1;8;1;38;1986;5;2;;1920000
2024;1;8;1;32;1992;5;2;;1300000
2024;1;8;2;26;1998;5;2;;1300000
2024;1;8;1;44;1980;4;4;;1500000
2024;1;8;2;45;1979;5;2;;960000
2024;1;8;2;27;1997;10;6;419;1300000
2024;1;8;1;54;1970;5;2;;900000
2024;1;8;2;53;1971;3;5;;500000
2024;1;8;2;31;1993;5;2;;1600000
2024;1;8;1;27;1997;4;3;;1300000
2024;1;8;1;42;1982;5;2;;1300000
2024;1;8;1;36;1988;5;2;;450000
2024;1;8;2;28;1996;8;4;411;450000
2024;1;8;1;53;1970;5;2;;1300000
2024;1;8;2;26;1998;10;6;1029;1300000
2024;1;8;2;48;1976;5;2;;1900000
2024;1;8;1;48;1976;5;2;;1850000
2024;1;8;1;38;1986;10;10;719;3200000
2024;1;8;1;48;;10;10;419;4000000
2024;1;8;1;52;1972;5;2;;1400000
2024;1;8;2;54;1970;5;2;;1300000
2024;1;8;1;23;2001;10;10;421;4000000
2024;1;8;2;33;1990;10;10;313;1800000
2024;1;8;1;56;1968;5;2;;2500000
2024;1;8;2;54;1970;10;10;313;2000000
2024;1;8;2;49;1975;10;10;113;2500000
2024;1;8;2;41;1983;5;2;;0
2024;1;8;1;43;1981;5;2;;1100000
2024;1;8;2;59;1965;4;4;;400000
2024;1;8;1;71;1953;3;5;;0
2024;1;8;2;58;1966;3;5;;600000
2024;1;8;1;44;1980;5;2;;4500000
2024;1;8;2;44;1980;5;2;;1600000
2024;1;8;2;36;1988;10;10;229;2800000
2024;1;8;2;32;1992;5;2;;400000
2024;1;8;1;33;1991;5;2;;450000
2024;1;8;1;43;1981;9;6;411;1250000
2024;1;8;2;41;1983;10;10;918;2000000
2024;1;8;2;42;1982;10;10;112;1600000
2024;1;8;1;38;1986;9;6;212;1800000
2024;1;8;2;36;1988;8;4;416;1300000
2024;1;8;2;30;1994;8;4;419;1300000
2024;1;8;1;45;1979;5;2;;1300000
2024;1;8;1;63;1961;5;2;;1300000
2024;1;8;1;57;1967;8;4;729;2600000
2024;1;8;2;55;1969;10;10;411;3200000
2024;1;8;2;26;1998;10;10;413;2600000
2024;1;8;1;21;2002;10;10;613;2600000
2024;1;8;1;64;1960;5;2;;1500000
2024;1;8;2;60;1964;5;2;;1300000
2024;1;8;1;49;1975;5;2;;1600000
2024;1;8;1;38;1986;8;4;413;2600000
2024;1;8;2;35;1989;8;4;112;1300000
2024;1;8;1;29;1995;8;4;688;1700000
2024;1;8;2;40;1984;5;2;;1300000
2024;1;8;1;58;1966;5;2;;1500000
2024;1;8;1;54;1970;8;4;916;1500000
2024;1;8;2;43;1981;10;10;912;3500000
2024;1;8;1;37;1987;8;4;1022;2100000
2024;1;8;2;43;1981;10;10;411;2000000
2024;1;8;2;19;2005;5;2;;1441000
2024;1;8;2;61;1963;10;10;239;5500000
2024;1;8;1;26;1998;10;9;222;2800000
2024;1;8;1;51;1973;5;2;;1500000
2024;1;8;1;28;1996;9;6;613;1600000
2024;1;8;2;27;1997;5;2;;400000
2024;1;8;2;30;1994;10;10;232;1300000
2024;1;8;1;46;1978;11;2;1022;2000000
2024;1;8;1;37;1987;12;4;421;4000000
2024;1;8;2;34;1990;8;4;413;1300000
2024;1;8;2;62;1962;5;2;;1300000
2024;1;8;1;27;1997;9;2;611;900000
2024;1;8;2;65;1959;11;2;31;3600000
2024;1;8;1;23;2001;5;2;;1100000
2024;1;8;1;58;1966;4;4;;1500000
2024;1;8;1;21;2003;5;2;;1600000
2024;1;8;2;20;2004;10;3;232;950000
2024;1;8;1;41;1983;5;2;;1200000
2024;1;8;2;23;2001;8;4;1012;2000000
2024;1;8;2;19;2005;8;4;1012;400000
2024;1;8;2;52;1972;10;10;239;3200000
2024;1;8;2;30;1994;10;10;413;1300000
2024;1;8;1;20;2003;5;2;;1420000
2024;1;8;2;52;1972;11;2;111;6000000
2024;1;8;1;44;1980;5;2;;1350000
2024;1;8;2;25;1999;8;4;988;1300000
2024;1;8;2;34;1989;10;6;413;1350000
2024;1;8;1;33;1991;5;2;;1300000
2024;1;8;1;27;1997;5;2;;400000
2024;1;8;1;51;1973;5;2;;1700000
2024;1;8;1;36;1988;5;2;;900000
2024;1;8;1;54;1970;5;2;;2000000
2024;1;8;2;40;1984;5;2;;7000000
2024;1;8;2;41;1983;5;2;;1200000
2024;1;8;1;25;1999;5;2;;400000
2024;1;8;1;34;1990;3;5;;1450000
2024;1;8;2;46;1978;8;4;112;1700000
2024;1;8;1;49;;3;4;;550000
2024;1;11;1;45;1979;10;10;719;3200000
2024;1;11;1;30;1994;10;10;719;2800000
2024;1;11;2;29;1995;10;10;719;2400000
2024;1;11;2;27;1997;10;7;719;2700000
2024;1;11;1;32;1992;10;10;719;2800000
2024;1;11;2;26;1998;12;4;413;6681000
2024;1;11;2;29;1995;11;2;411;5000000
2024;1;11;2;32;1992;10;10;419;2000000
2024;1;11;1;31;1993;4;1;;2500000
2024;1;11;1;67;1957;10;10;819;2000000
2024;1;11;2;37;1987;10;10;913;2500000
2024;1;11;2;24;2000;10;10;414;1950000
2024;1;11;1;29;1995;5;2;;1300000
2024;1;11;1;59;1965;5;2;;2800000
2024;1;11;1;53;1971;10;10;413;8500000
2024;1;11;1;64;1959;5;2;;1200000
2024;1;11;2;62;1962;11;2;413;4000000
2024;1;11;1;66;1958;12;4;119;5000000
2024;1;11;1;44;1980;11;2;421;3800000
2024;1;11;1;31;1993;5;2;;1740000
2024;1;11;2;43;1981;8;4;913;1300000
2024;1;11;1;29;1995;12;2;732;10300000
2024;1;11;2;60;1964;3;5;;930000
2024;1;11;1;65;1959;3;5;;1300000
2024;1;11;2;40;1984;5;2;;1300000
2024;1;11;1;38;1986;5;2;;1300000
2024;1;11;1;30;1994;5;2;;1200000
2024;1;11;2;34;1989;5;2;;2000000
2024;1;11;2;33;1991;11;2;421;3600000
2024;1;11;2;59;1965;10;4;421;2000000
2024;1;11;1;35;1989;4;4;;1700000
2024;1;11;2;55;1969;5;2;;1760000
2024;1;11;1;57;1967;5;2;;2000000
2024;1;11;1;24;2000;5;2;;1500000
2024;1;11;2;25;1999;5;2;;1300000
2024;1;11;2;24;2000;5;2;;1300000
2024;1;11;1;66;1958;13;8;311;16000000
2024;1;11;1;40;1983;10;10;488;4000000
2024;1;11;2;42;1982;10;10;519;5000000
2024;1;11;2;26;1998;10;10;311;4000000
2024;1;11;1;67;1957;10;10;421;15000000
