directorio,secuencia_p,orden,hogar,regis,per,p3271,p6040,p3042,inglabo,id_registro_original
8445698,1,1,1,10,2025,1,56,3.0,1750000.0,22875
8436741,1,3,1,10,2025,2,26,8.0,1200000.0,1947
8469629,1,1,1,10,2025,1,46,5.0,1423500.0,57728
8443141,1,2,1,10,2025,1,24,6.0,1600000.0,16819
8465419,1,2,1,10,2025,2,34,8.0,900000.0,47577
8451382,1,1,1,10,2025,1,59,1.0,300000.0,36125
8468253,1,2,1,10,2025,1,26,3.0,600000.0,54160
8464301,1,2,1,10,2025,2,61,10.0,1400000.0,45100
8441436,1,1,1,10,2025,1,58,3.0,1000000.0,12746
8449405,1,2,1,10,2025,2,63,3.0,1000000.0,31156
8473258,1,2,1,10,2025,2,60,5.0,2323500.0,65549
8447810,1,1,1,10,2025,1,39,6.0,1300000.0,27770
8470558,1,4,1,10,2025,2,18,6.0,780000.0,60012
8439547,1,1,1,10,2025,2,57,10.0,3200000.0,8532
8465199,1,2,1,10,2025,2,20,5.0,1900000.0,47193
8468067,1,2,1,10,2025,2,63,5.0,1423500.0,53763
8468446,1,2,1,10,2025,2,49,12.0,3500000.0,54660
8467507,1,3,1,10,2025,1,39,5.0,1423500.0,52367
8445334,1,1,1,10,2025,2,30,9.0,1423500.0,22012
8443834,1,1,1,10,2025,1,22,4.0,1500000.0,18636
8444020,1,1,1,10,2025,2,32,5.0,2000000.0,19094
8441375,1,1,1,10,2025,2,38,11.0,5200000.0,12641
8462297,1,1,1,10,2025,2,34,5.0,1700000.0,40673
8473356,1,2,1,10,2025,2,31,8.0,300000.0,65738
8450425,1,2,1,10,2025,1,31,4.0,650000.0,33727
8446898,1,1,1,10,2025,1,40,9.0,1423500.0,25754
8439280,1,2,1,10,2025,2,58,3.0,800000.0,7904
8468777,1,1,1,10,2025,1,29,10.0,700000.0,55468
8441328,1,1,1,10,2025,1,60,5.0,2000000.0,12527
8446608,1,1,1,10,2025,1,39,9.0,5200000.0,25140
8446125,1,1,1,10,2025,1,41,5.0,2800000.0,23840
8446822,1,2,1,10,2025,1,60,5.0,1623500.0,25580
8469247,1,2,1,10,2025,2,21,10.0,1423500.0,56684
8443402,1,2,1,10,2025,1,27,3.0,1700000.0,17490
8471412,1,1,1,10,2025,2,44,3.0,1400000.0,61930
8436734,1,1,1,10,2025,1,30,4.0,1600000.0,1933
8450466,1,2,1,10,2025,1,34,10.0,1600000.0,33801
8473870,1,1,1,10,2025,2,37,12.0,6500000.0,66452
8464643,1,1,1,10,2025,2,31,5.0,1623500.0,45957
8446978,1,1,1,10,2025,2,47,5.0,1400000.0,25955
8462397,1,1,1,10,2025,1,41,5.0,1423500.0,40893
8463426,1,2,1,10,2025,2,75,5.0,120000.0,43261
8438706,1,1,1,10,2025,1,26,10.0,300000.0,6627
8439366,1,1,1,10,2025,1,41,10.0,4500000.0,8119
8467630,1,2,1,10,2025,2,51,5.0,1000000.0,52680
8450219,1,2,1,10,2025,1,26,5.0,200000.0,33211
8467763,1,1,1,10,2025,1,30,3.0,1700000.0,52991
8471238,1,1,1,10,2025,2,42,5.0,1623500.0,61604
8462547,1,1,1,10,2025,1,42,3.0,800000.0,41247
8440387,1,2,1,10,2025,1,45,5.0,1900000.0,10438
8470740,1,1,1,10,2025,2,32,4.0,1500000.0,60464
8467735,1,2,1,10,2025,2,40,11.0,3500000.0,52912
8470479,1,3,1,10,2025,2,20,8.0,1600000.0,59840
8446836,1,1,1,10,2025,2,34,10.0,3900000.0,25618
8471201,1,1,1,10,2025,2,37,4.0,100000.0,61510
8450254,1,1,1,10,2025,2,29,5.0,800000.0,33297
8442878,1,1,1,10,2025,1,63,9.0,800000.0,16151
8464419,1,1,1,10,2025,1,26,10.0,2190000.0,45406
8443797,1,1,1,10,2025,2,32,10.0,3500000.0,18516
8452479,1,1,1,10,2025,2,27,8.0,350000.0,38932
8450781,1,1,1,10,2025,1,51,5.0,1600000.0,34578
8445553,1,4,1,10,2025,2,35,5.0,800000.0,22539
8439331,1,1,1,10,2025,2,22,8.0,1423500.0,8045
8468334,1,1,1,10,2025,1,65,8.0,1000000.0,54335
8443512,1,2,1,10,2025,2,23,6.0,320000.0,17790
8472428,1,1,1,10,2025,1,48,5.0,1623500.0,63976
8467792,1,1,1,10,2025,2,40,4.0,1623500.0,53051
8449968,1,3,1,10,2025,2,22,5.0,1000000.0,32571
8440546,1,1,1,10,2025,2,67,10.0,4300000.0,10781
8442377,1,1,1,10,2025,2,45,3.0,400000.0,14993
8466310,1,2,1,10,2025,2,56,8.0,4200000.0,49356
8465426,1,1,1,10,2025,1,38,10.0,2000000.0,47591
8473094,1,1,1,10,2025,1,55,3.0,1600000.0,65229
8463149,1,4,1,10,2025,1,28,8.0,1423500.0,42498
8464709,1,2,1,10,2025,1,62,3.0,500000.0,46122
8472475,1,2,1,10,2025,1,32,3.0,1200000.0,64118
8466570,1,3,1,10,2025,1,27,8.0,1423000.0,50078
8439354,1,3,1,10,2025,2,47,5.0,1423500.0,8093
8442276,1,1,1,10,2025,1,39,10.0,8300000.0,14717
8464124,1,1,1,10,2025,1,38,10.0,1773500.0,44794
8466282,1,1,1,10,2025,1,29,10.0,5600000.0,49311
8462135,1,1,1,10,2025,1,28,5.0,2500000.0,40342
8473593,1,2,1,10,2025,1,42,5.0,1200000.0,65900
8446681,1,2,1,10,2025,2,42,8.0,1423500.0,25316
8468136,1,1,1,10,2025,2,37,8.0,3500000.0,53908
8446585,1,3,1,10,2025,2,33,5.0,1423500.0,25073
8450462,1,1,1,10,2025,2,63,11.0,1800000.0,33795
8465872,1,2,1,10,2025,2,25,5.0,500000.0,48532
8446311,1,2,1,10,2025,2,30,8.0,190000.0,24389
8462517,1,1,1,10,2025,1,62,3.0,2400000.0,41170
8436167,1,1,1,10,2025,2,56,7.0,350000.0,539
8442859,1,1,1,10,2025,2,45,5.0,1500000.0,16105
8465970,1,1,1,10,2025,1,28,6.0,4900000.0,48716
8464341,1,2,1,10,2025,2,46,10.0,2100000.0,45220
8442764,1,1,1,10,2025,1,29,10.0,4500000.0,15878
8447668,1,1,1,10,2025,2,45,11.0,2500000.0,27477
8452534,1,1,1,10,2025,2,20,5.0,800000.0,39079
8438626,1,3,1,10,2025,2,24,10.0,2800000.0,6462
8462489,1,2,1,10,2025,1,19,8.0,1423500.0,41092
8443092,1,1,1,10,2025,2,25,9.0,2000000.0,16701
8444808,1,1,1,10,2025,2,40,5.0,400000.0,21132
8470241,1,1,1,10,2025,1,70,3.0,1400000.0,59259
8463964,1,1,1,10,2025,2,29,8.0,1800000.0,44494
8451254,1,1,1,10,2025,2,35,10.0,3000000.0,35781
8447919,1,1,1,10,2025,2,27,5.0,400000.0,28046
8444577,1,2,1,10,2025,1,26,5.0,1500000.0,20516
8448935,1,4,1,10,2025,2,59,3.0,800000.0,30121
8452457,1,1,1,10,2025,2,25,5.0,800000.0,38882
8446394,1,1,1,10,2025,1,57,5.0,2500000.0,24597
8463293,1,2,1,10,2025,2,33,5.0,1500000.0,42868
8437580,1,1,1,10,2025,2,59,12.0,4000000.0,4124
8444429,1,1,1,10,2025,1,30,4.0,600000.0,20114
8465798,1,2,1,10,2025,2,42,10.0,3000000.0,48337
8438478,1,1,1,10,2025,2,61,5.0,3000000.0,6108
8445972,1,1,1,10,2025,1,40,3.0,1200000.0,23460
8469531,1,1,1,10,2025,2,27,5.0,400000.0,57440
8448680,1,3,1,10,2025,2,55,3.0,960000.0,29637
8439791,1,4,1,10,2025,2,17,5.0,150000.0,9130
8447714,1,1,1,10,2025,2,39,10.0,1800000.0,27559
8443699,1,2,1,10,2025,2,39,8.0,1500000.0,18274
8467903,1,1,1,10,2025,1,29,10.0,3800000.0,53355
8438795,1,2,1,10,2025,1,35,10.0,3800000.0,6835
8445259,1,2,1,10,2025,2,23,10.0,2800000.0,21796
8462485,1,1,1,10,2025,1,45,3.0,750000.0,41081
8465988,1,2,1,10,2025,2,51,8.0,900000.0,48763
8449038,1,1,1,10,2025,2,42,6.0,800000.0,30299
8463577,1,1,1,10,2025,2,41,5.0,1800000.0,43620
8437877,1,2,1,10,2025,2,44,4.0,500000.0,4762
8449027,1,1,1,10,2025,1,30,10.0,3600000.0,30278
8468919,1,3,1,10,2025,2,50,11.0,7000000.0,55842
8448418,1,2,1,10,2025,1,42,5.0,1800000.0,29111
8470768,1,2,1,10,2025,1,29,5.0,1423500.0,60571
8462419,1,1,1,10,2025,1,50,5.0,1423500.0,40940
8471003,1,2,1,10,2025,2,42,9.0,1500000.0,61139
8464907,1,1,1,10,2025,1,31,8.0,1423500.0,46520
8437862,1,1,1,10,2025,2,40,10.0,2000000.0,4732
8467688,1,3,1,10,2025,2,24,8.0,2200000.0,52815
8451214,1,1,1,10,2025,2,48,10.0,3906404.0,35688
8439436,1,1,1,10,2025,1,73,4.0,3000000.0,8267
8464873,1,1,1,10,2025,1,23,5.0,1423500.0,46445
8470957,1,2,1,10,2025,2,46,5.0,1423500.0,61025
8464451,1,5,1,10,2025,1,21,5.0,1000000.0,45500
8447981,1,1,1,10,2025,1,32,4.0,1423500.0,28185
8449454,1,1,1,10,2025,1,55,11.0,6200000.0,31282
8467623,1,2,1,10,2025,1,42,5.0,280000.0,52661
8461923,1,1,1,10,2025,1,57,5.0,1500000.0,39773
8468966,1,2,1,10,2025,1,48,10.0,7000000.0,55922
8451820,1,1,1,10,2025,1,18,5.0,2000000.0,37227
8438837,1,1,1,10,2025,1,37,5.0,1400000.0,6920
8449899,1,3,1,10,2025,2,19,8.0,1900000.0,32386
8471483,1,1,1,10,2025,2,43,10.0,280000.0,62075
8466628,1,1,1,10,2025,2,18,3.0,1150000.0,50216
8442211,1,2,1,10,2025,1,29,10.0,6300000.0,14572
8466123,1,1,1,10,2025,2,46,5.0,800000.0,49009
8461986,1,3,1,10,2025,2,22,10.0,2000000.0,39960
8440489,1,1,1,10,2025,1,60,8.0,2500000.0,10644
8450544,1,4,1,10,2025,1,21,10.0,1423000.0,33995
8471028,1,2,1,10,2025,1,26,5.0,1000000.0,61192
8462162,1,1,1,10,2025,2,41,11.0,5900000.0,40409
8461820,1,1,1,10,2025,1,41,1.0,720000.0,39493
8448047,1,1,1,10,2025,2,52,3.0,1200000.0,28354
8440968,1,3,1,10,2025,1,38,5.0,1423500.0,11828
8450701,1,1,1,10,2025,1,31,5.0,1200000.0,34392
8444674,1,1,1,10,2025,2,83,3.0,600000.0,20757
8442189,1,2,1,10,2025,1,39,5.0,1423500.0,14498
8449631,1,2,1,10,2025,1,18,4.0,1700000.0,31699
8441235,1,2,1,10,2025,2,44,10.0,700000.0,12368
8472850,1,3,1,10,2025,1,54,5.0,1200000.0,64827
8465856,1,2,1,10,2025,1,39,5.0,1000000.0,48483
8464911,1,2,1,10,2025,1,42,5.0,1600000.0,46530
8471433,1,1,1,10,2025,2,34,4.0,800000.0,61979
8439932,1,1,1,10,2025,1,36,3.0,1600000.0,9481
8449669,1,1,1,10,2025,1,61,1.0,700000.0,31812
8467910,1,1,1,10,2025,2,67,3.0,1000000.0,53369
8450551,1,1,1,10,2025,2,34,12.0,5270500.0,34011
8451247,1,3,1,10,2025,1,23,3.0,1600000.0,35770
8436609,1,1,1,10,2025,2,46,3.0,800000.0,1596
8470458,1,1,1,10,2025,2,34,5.0,1423500.0,59786
8466365,1,2,1,10,2025,1,42,5.0,350000.0,49518
8452382,1,1,1,10,2025,2,78,5.0,1500000.0,38656
8438283,1,4,1,10,2025,2,56,3.0,1100000.0,5607
8463636,1,2,1,10,2025,2,40,8.0,750000.0,43740
8471755,1,1,1,10,2025,2,35,5.0,1500000.0,62585
8439776,1,2,1,10,2025,2,30,4.0,400000.0,9081
8436045,1,3,1,10,2025,1,24,5.0,800000.0,263
8467922,1,1,1,10,2025,1,59,5.0,1500000.0,53406
8464394,1,2,1,10,2025,2,37,8.0,1800000.0,45355
8463910,1,3,1,10,2025,1,34,8.0,1423500.0,44372
8471683,1,2,1,10,2025,1,34,12.0,3600000.0,62458
8450544,1,2,1,10,2025,2,52,5.0,2300000.0,33993
8473037,1,1,1,10,2025,2,43,10.0,3000000.0,65140
8473351,1,1,1,10,2025,1,66,4.0,1200000.0,65733
8448240,1,1,1,10,2025,2,49,3.0,240000.0,28807
8451466,1,2,1,10,2025,1,40,3.0,100000.0,36325
8446842,1,1,1,10,2025,2,66,12.0,7000000.0,25632
8469074,1,2,1,10,2025,2,20,5.0,900000.0,56216
8465789,1,1,1,10,2025,1,38,5.0,1423500.0,48321
8462748,1,1,1,10,2025,2,43,10.0,2650000.0,41677
8470009,1,1,1,10,2025,2,45,5.0,400000.0,58703
8472624,1,2,1,10,2025,2,51,5.0,1900000.0,64356
8451030,1,1,1,10,2025,1,59,3.0,1400000.0,35206
8465906,1,1,1,10,2025,2,37,9.0,720000.0,48591
8446193,1,1,1,10,2025,2,64,10.0,1400000.0,24010
8438482,1,2,1,10,2025,1,32,10.0,2300000.0,6122
8450668,1,2,1,10,2025,2,29,5.0,1623500.0,34331
8449381,1,1,1,10,2025,2,27,5.0,800000.0,31096
8443832,1,1,1,10,2025,2,51,5.0,1500000.0,18630
8444438,1,2,1,10,2025,1,38,4.0,900000.0,20137
8440375,1,2,1,10,2025,1,42,8.0,1400000.0,10407
8471328,1,1,1,10,2025,2,38,5.0,1300000.0,61764
8442148,1,1,1,10,2025,1,63,3.0,1200000.0,14382
8472546,1,2,1,10,2025,2,27,5.0,400000.0,64197
8449266,1,3,1,10,2025,1,26,3.0,700000.0,30775
8468509,1,1,1,10,2025,1,50,5.0,1723000.0,54800
8438102,1,1,1,10,2025,1,53,4.0,1600000.0,5211
8436025,1,4,1,10,2025,1,47,1.0,500000.0,212
8440550,1,2,1,10,2025,2,23,10.0,400000.0,10792
8444231,1,1,1,10,2025,1,33,8.0,4500000.0,19591
8436021,1,1,1,10,2025,1,62,3.0,500000.0,198
8451182,1,1,1,10,2025,1,31,4.0,700000.0,35592
8473221,1,2,1,10,2025,2,43,4.0,920000.0,65486
8436441,1,1,1,10,2025,1,35,3.0,1709500.0,1152
8462533,1,3,1,10,2025,1,31,5.0,1200000.0,41220
8462840,1,1,1,10,2025,1,73,3.0,1423500.0,41877
8468437,1,1,1,10,2025,2,53,5.0,1623500.0,54639
8443869,1,1,1,10,2025,1,35,9.0,2600000.0,18713
8449574,1,1,1,10,2025,1,52,3.0,1000000.0,31567
8446312,1,2,1,10,2025,2,46,8.0,1423500.0,24392
8462417,1,1,1,10,2025,2,37,5.0,500000.0,40937
8468694,1,4,1,10,2025,1,20,5.0,1400000.0,55254
8467653,1,2,1,10,2025,1,44,5.0,600000.0,52735
8462364,1,1,1,10,2025,2,37,3.0,600000.0,40820
8469035,1,3,1,10,2025,1,32,9.0,1500000.0,56106
8438037,1,3,1,10,2025,1,32,5.0,300000.0,5080
8467493,1,2,1,10,2025,2,35,6.0,500000.0,52339
8450902,1,1,1,10,2025,1,25,4.0,600000.0,34857
8439663,1,2,1,10,2025,1,53,3.0,700000.0,8826
8471985,1,1,1,10,2025,1,43,3.0,280000.0,63029
8439617,1,3,1,10,2025,1,27,10.0,1500000.0,8713
8462729,1,1,1,10,2025,1,39,5.0,1423500.0,41649
8447045,1,1,1,10,2025,2,41,10.0,1623000.0,26099
8448494,1,2,1,10,2025,2,70,3.0,1600000.0,29262
8438283,1,1,1,10,2025,2,37,10.0,1600000.0,5604
8467217,1,3,1,10,2025,1,29,5.0,1623500.0,51672
8444117,1,1,1,10,2025,2,36,10.0,1423500.0,19356
8466948,1,1,1,10,2025,1,39,10.0,4000000.0,50934
8464071,1,1,1,10,2025,1,39,9.0,1950000.0,44709
8469328,1,2,1,10,2025,2,58,4.0,500000.0,56937
8468812,1,1,1,10,2025,2,40,10.0,800000.0,55559
8437708,1,4,1,10,2025,1,21,6.0,300000.0,4415
8464083,1,1,1,10,2025,2,61,11.0,7600000.0,44731
8438520,1,1,1,10,2025,1,36,10.0,2847000.0,6214
8472622,1,2,1,10,2025,2,41,11.0,3600000.0,64353
8464192,1,1,1,10,2025,2,45,8.0,800000.0,44932
8473638,1,3,1,10,2025,2,25,5.0,500000.0,66034
8440115,1,2,1,10,2025,2,39,4.0,1600000.0,9800
8444774,1,2,1,10,2025,1,51,4.0,800000.0,21039
8436814,1,1,1,10,2025,1,36,5.0,1900000.0,2088
8440773,1,4,1,10,2025,1,46,5.0,600000.0,11394
8462342,1,2,1,10,2025,2,37,5.0,350000.0,40776
8446402,1,1,1,10,2025,1,42,11.0,9000000.0,24622
8436922,1,3,1,10,2025,2,28,10.0,4000000.0,2500
8473888,1,2,1,10,2025,2,40,5.0,800000.0,66505
8444439,1,1,1,10,2025,2,38,8.0,1800000.0,20140
8439129,1,5,1,10,2025,2,26,5.0,4000000.0,7580
8442328,1,1,1,10,2025,2,49,9.0,1800000.0,14871
8469138,1,2,1,10,2025,2,53,5.0,785000.0,56401
8441320,1,2,1,10,2025,2,56,4.0,2200000.0,12510
8463602,1,1,1,10,2025,1,69,9.0,2000000.0,43661
8447222,1,1,1,10,2025,1,44,8.0,1423500.0,26401
8437047,1,5,1,10,2025,1,35,5.0,2500000.0,2826
8471290,1,1,1,10,2025,2,28,5.0,1500000.0,61702
8448516,1,3,1,10,2025,2,41,12.0,3200000.0,29302
8468362,1,2,1,10,2025,2,63,5.0,1300000.0,54415
8442454,1,2,1,10,2025,2,30,10.0,1600000.0,15163
8467110,1,2,1,10,2025,2,29,5.0,1423500.0,51400
8443825,1,1,1,10,2025,2,59,10.0,240000.0,18612
8463862,1,1,1,10,2025,2,54,5.0,250000.0,44262
8450574,1,1,1,10,2025,2,51,8.0,240000.0,34080
8463243,1,1,1,10,2025,1,25,5.0,3000000.0,42722
8437265,1,1,1,10,2025,1,42,5.0,1300000.0,3364
8446170,1,1,1,10,2025,1,46,5.0,1300000.0,23954
8437422,1,2,1,10,2025,2,32,10.0,2500000.0,3779
8468059,1,2,1,10,2025,2,43,5.0,1300000.0,53746
8469772,1,1,1,10,2025,1,17,4.0,1500000.0,58116
8468064,1,1,1,10,2025,1,51,5.0,1423500.0,53752
8463512,1,4,1,10,2025,2,60,10.0,2500000.0,43484
8465135,1,3,1,10,2025,2,36,10.0,400000.0,47099
8448361,1,2,1,10,2025,2,23,4.0,400000.0,28966
8465434,1,1,1,10,2025,2,42,9.0,1500000.0,47613
8465225,1,2,1,10,2025,1,17,6.0,840000.0,47257
8468502,1,2,1,10,2025,1,40,4.0,1423500.0,54783
8441456,1,1,1,10,2025,2,49,10.0,3500000.0,12804
8443428,1,1,1,10,2025,1,32,5.0,1800000.0,17556
8441035,1,4,1,10,2025,2,21,9.0,750000.0,11939
8468262,1,1,1,10,2025,1,32,5.0,1923500.0,54180
8449595,1,5,1,10,2025,2,24,5.0,1000000.0,31631
8448230,1,2,1,10,2025,1,27,5.0,800000.0,28785
8437310,1,1,1,10,2025,2,56,4.0,800000.0,3484
8451340,1,2,1,10,2025,2,49,5.0,550000.0,36006
8445226,1,1,1,10,2025,2,50,4.0,1623000.0,21678
8465465,1,3,1,10,2025,2,43,5.0,2800000.0,47674
8443172,1,1,1,10,2025,1,61,5.0,1423500.0,16878
8471781,1,2,1,10,2025,2,26,10.0,800000.0,62646
8462101,1,2,1,10,2025,2,20,5.0,300000.0,40239
8468062,1,1,1,10,2025,1,46,5.0,2100000.0,53749
8466575,1,1,1,10,2025,1,41,3.0,1950000.0,50088
8437232,1,2,1,10,2025,2,38,5.0,500000.0,3244
8471329,1,1,1,10,2025,2,44,11.0,600000.0,61767
8450508,1,2,1,10,2025,2,42,6.0,1500000.0,33885
8442902,1,2,1,10,2025,2,38,5.0,600000.0,16207
8446913,1,1,1,10,2025,1,57,8.0,1800000.0,25798
8445346,1,1,1,10,2025,1,25,3.0,800000.0,22035
8450790,1,3,1,10,2025,1,32,5.0,1600000.0,34605
8444055,1,1,1,10,2025,2,58,13.0,9800000.0,19209
8468482,1,1,1,10,2025,2,34,8.0,1623000.0,54738
8443849,1,1,1,10,2025,2,45,11.0,4803000.0,18670
8463944,1,1,1,10,2025,2,56,5.0,1000000.0,44445
8440608,1,1,1,10,2025,2,41,5.0,1400000.0,10972
8446572,1,2,1,10,2025,1,51,4.0,500000.0,25021
8469902,1,1,1,10,2025,2,33,5.0,500000.0,58407
8446694,1,1,1,10,2025,1,48,10.0,1000000.0,25347
8446022,1,1,1,10,2025,1,62,8.0,230000.0,23589
8469406,1,2,1,10,2025,1,58,4.0,150000.0,57122
8472149,1,5,1,10,2025,1,22,5.0,600000.0,63423
8467308,1,1,1,10,2025,2,53,8.0,1423500.0,51875
8466172,1,2,1,10,2025,1,60,9.0,1500000.0,49130
8444213,1,2,1,10,2025,2,55,5.0,1500000.0,19545
8442694,1,1,1,10,2025,1,62,3.0,1500000.0,15706
8437176,1,2,1,10,2025,2,23,10.0,2800000.0,3105
8441870,1,2,1,10,2025,2,46,11.0,800000.0,13686
8437239,1,2,1,10,2025,2,64,9.0,2500000.0,3273
8466448,1,1,1,10,2025,1,58,3.0,350000.0,49757
8465560,1,2,1,10,2025,2,20,9.0,1423000.0,47871
8466528,1,1,1,10,2025,1,65,10.0,1700000.0,49991
8470803,1,2,1,10,2025,2,62,5.0,800000.0,60677
8445249,1,1,1,10,2025,1,28,5.0,1000000.0,21759
8451008,1,1,1,10,2025,2,23,5.0,1500000.0,35164
8452197,1,1,1,10,2025,1,77,1.0,420000.0,38186
8466338,1,2,1,10,2025,2,34,5.0,1423500.0,49432
8443171,1,1,1,10,2025,2,33,4.0,300000.0,16871
8446826,1,1,1,10,2025,2,54,5.0,900000.0,25589
8472642,1,3,1,10,2025,2,23,10.0,1423500.0,64399
8447272,1,2,1,10,2025,2,23,10.0,2000000.0,26556
8462527,1,2,1,10,2025,2,59,5.0,1500000.0,41189
8470720,1,1,1,10,2025,2,25,10.0,2700000.0,60400
8440749,1,1,1,10,2025,1,70,8.0,1500000.0,11333
8441692,1,1,1,10,2025,2,56,1.0,0.0,13309
8465007,1,1,1,10,2025,1,74,3.0,150000.0,46766
8468279,1,1,1,10,2025,2,52,5.0,640000.0,54217
8446241,1,10,1,10,2025,1,60,3.0,600000.0,24180
8444932,1,1,1,10,2025,2,24,4.0,5000000.0,21447
8468225,1,2,1,10,2025,2,33,5.0,900000.0,54096
8439448,1,2,1,10,2025,2,44,5.0,300000.0,8308
8443055,1,1,1,10,2025,1,37,12.0,7000000.0,16607
8472243,1,1,1,10,2025,2,25,5.0,1980000.0,63618
8470876,1,3,1,10,2025,2,45,8.0,146000.0,60840
8451836,1,1,1,10,2025,2,32,5.0,480000.0,37268
8450420,1,2,1,10,2025,1,27,5.0,1423500.0,33712
8446975,1,1,1,10,2025,2,47,3.0,1300000.0,25951
8471328,1,3,1,10,2025,1,24,8.0,1423500.0,61766
8447321,1,1,1,10,2025,2,41,8.0,120000.0,26693
8449026,1,1,1,10,2025,2,48,3.0,1752000.0,30271
8444338,1,1,1,10,2025,2,47,5.0,600000.0,19877
8437366,1,2,1,10,2025,2,38,5.0,300000.0,3658
8451400,1,2,1,10,2025,1,21,3.0,1200000.0,36171
8464954,1,2,1,10,2025,1,32,10.0,2500000.0,46637
8451674,1,1,1,10,2025,1,29,9.0,1400000.0,36836
8467731,1,1,1,10,2025,1,53,5.0,2000000.0,52905
8440461,1,1,1,10,2025,2,32,6.0,500000.0,10576
8468493,1,2,1,10,2025,1,61,3.0,1623000.0,54762
8450634,1,1,1,10,2025,2,51,3.0,1500000.0,34231
8439191,1,2,1,10,2025,1,52,3.0,600000.0,7702
8451153,1,1,1,10,2025,2,55,1.0,180000.0,35515
8446612,1,1,1,10,2025,2,51,8.0,300000.0,25154
8447795,1,1,1,10,2025,2,45,5.0,1423500.0,27716
8438992,1,1,1,10,2025,1,34,10.0,3000000.0,7257
8467650,1,2,1,10,2025,2,54,3.0,160000.0,52729
8442352,1,1,1,10,2025,1,55,5.0,3200000.0,14930
8472621,1,1,1,10,2025,1,34,11.0,4270500.0,64349
8452183,1,1,1,10,2025,1,29,5.0,3000000.0,38148
8466990,1,1,1,10,2025,1,50,4.0,700000.0,51056
8441552,1,1,1,10,2025,1,65,4.0,200000.0,13010
8464397,1,1,1,10,2025,2,50,10.0,4000000.0,45358
